STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-01,0,,12.2,7.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-02,0,,11.7,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-03,0,,15.6,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-04,0,,17.2,7.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-05,0,,14.4,5.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-06,0,,15,7.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-07,0,,17.2,7.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-08,0,,13.9,8.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-09,0,,17.8,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-10,0,,21.7,6.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-11,0,,26.1,7.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-12,0,,28.9,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-13,0,,26.7,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-14,0,,27.2,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-15,0,,27.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-16,0,,26.7,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-17,0,,26.1,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-18,0,,28.9,12.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-19,0,,27.8,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-20,0,,27.8,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-21,0,,23.3,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-22,0.8,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-23,6.4,,18.3,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-24,5.8,,15.6,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-25,0,,15,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-26,0,,13.9,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-27,0,,18.9,6.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-28,0,,18.9,7.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-29,0,,25.6,7.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-30,0,,23.3,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-01-31,0,,22.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-01,0,,17.2,9.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-02,0,,26.7,9.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-03,0,,26.7,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-04,0,,25.6,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-05,10.4,,16.7,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-06,15.5,,15,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-07,9.4,,15,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-08,0,,14.4,9.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-09,5.1,,12.2,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-10,0,,13.9,6.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-11,0,,13.3,5.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-12,0,,14.4,6.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-13,4.6,,12.8,6.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-14,0,,12.2,5
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-15,0,,13.3,5.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-16,28.4,,14.4,8.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-17,13.2,,13.9,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-18,0,,15.6,8.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-19,0,,22.2,7.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-20,0,,21.1,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-21,0,,17.8,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-22,0,,22.8,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-23,0,,20.6,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-24,0,,18.3,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-25,0,,15.6,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-26,0,,16.1,9.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-27,0,,17.2,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-02-28,0,,27.8,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-01,0,,25,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-02,0,,20,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-03,0,,17.8,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-04,1,,16.7,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-05,0,,14.4,7.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-06,0,,15,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-07,0,,16.7,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-08,0,,15.6,8.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-09,0,,15,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-10,0,,15.6,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-11,0,,15,9.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-12,0,,16.1,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-13,0,,15.6,8.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-14,0,,16.7,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-15,0,,16.1,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-16,0,,17.2,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-17,0,,19.4,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-18,0,,21.7,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-19,0,,17.2,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-20,0,,15,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-21,0,,15.6,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-22,0.3,,16.1,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-23,0,,20,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-24,0,,22.8,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-25,0,,20.6,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-26,0,,17.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-27,0,,20.6,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-28,0,,22.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-29,0,,16.7,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-30,0,,18.3,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-03-31,0,,18.9,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-01,0,,18.3,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-02,0,,16.7,12.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-03,0,,17.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-04,0,,18.9,9.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-05,0,,25.6,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-06,0,,26.1,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-07,0,,17.2,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-08,0,,17.2,11.7
