"","study_area","subsite","soil_moisture","lat","long","elevation","ecosystem","exstart","year","treatment","plot","spp","woody","functional_group","genus","species","phenophase","DOY","snowfree_date","data_provider","data_provider_email","inv_DOY","log10_DOY","sqrt_DOY","log_DOY"
"1","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A1_CA1-C1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,NA,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"2","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A1_CA1-C2","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",198,NA,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00505050505050505,2.29666519026153,14.0712472794703,5.28826703069454
"3","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A1_CA1-C2","POLVIV","herb","forb","Polygonum","viviparum","flower",205,NA,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.0048780487804878,2.31175386105575,14.3178210632764,5.32300997913841
"4","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A1_CA1-C3","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,NA,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"5","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A1_CA1-D1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,NA,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"6","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A1_CA1-D1","POLVIV","herb","forb","Polygonum","viviparum","flower",205,NA,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.0048780487804878,2.31175386105575,14.3178210632764,5.32300997913841
"7","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A1_CA1-D2","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,NA,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"8","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A2_CA2-C1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"9","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A2_CA2-C2","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"10","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A2_CA2-D1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"11","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A2_CA2-D2","POLVIV","herb","forb","Polygonum","viviparum","flower",205,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.0048780487804878,2.31175386105575,14.3178210632764,5.32300997913841
"12","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-C1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",184,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00543478260869565,2.26481782300954,13.5646599662505,5.21493575760899
"13","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-C2","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",184,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00543478260869565,2.26481782300954,13.5646599662505,5.21493575760899
"14","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-C3","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",191,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00523560209424084,2.28103336724773,13.8202749610853,5.25227342804663
"15","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-D1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",184,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00543478260869565,2.26481782300954,13.5646599662505,5.21493575760899
"16","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-D1","POLVIV","herb","forb","Polygonum","viviparum","flower",198,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00505050505050505,2.29666519026153,14.0712472794703,5.28826703069454
"17","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-D2","POLVIV","herb","forb","Polygonum","viviparum","flower",220,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00454545454545455,2.34242268082221,14.8323969741913,5.39362754635236
"18","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-D3","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",184,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00543478260869565,2.26481782300954,13.5646599662505,5.21493575760899
"19","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","A_A3_CA3-D3","POLVIV","herb","forb","Polygonum","viviparum","flower",198,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00505050505050505,2.29666519026153,14.0712472794703,5.28826703069454
"20","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","B_B4_CB4-C1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",178,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00561797752808989,2.25042000230889,13.3416640641263,5.18178355029209
"21","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","B_B4_CB4-C1","POLVIV","herb","forb","Polygonum","viviparum","flower",200,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.005,2.30102999566398,14.142135623731,5.29831736654804
"22","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","B_B4_CB4-C2","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",185,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00540540540540541,2.26717172840301,13.6014705087354,5.22035582507832
"23","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","B_B4_CB4-C2","POLVIV","herb","forb","Polygonum","viviparum","flower",200,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.005,2.30102999566398,14.142135623731,5.29831736654804
"24","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","B_B4_CB4-C3","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",185,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00540540540540541,2.26717172840301,13.6014705087354,5.22035582507832
"25","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","B_B4_CB4-C3","POLVIV","herb","forb","Polygonum","viviparum","flower",192,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00520833333333333,2.28330122870355,13.856406460551,5.25749537202778
"26","Adventdalen","HEATH","dry",78.16,16.1,50,"High arctic",2007,2007,"CTL","B_B4_CB4-D1","PEDHIR","herb","forb","Pedicularis","hirsuta","flower",178,156,"Elisabeth J Cooper","elisabeth.cooper[a]uit.no",0.00561797752808989,2.25042000230889,13.3416640641263,5.18178355029209
